采集日期,采集时间,设备ID,段落序号,向下镜头视频链接,向前镜头视频链接,session_id,filesize,原始上送时长,任务描述,无效时长,算法端可接受时长,审批人,审批状态,时间标注信息,无效片段标记时长,有效片段标记时长,无效片段标记原因,NOTE,操作员姿态,头部移动,向下摄像头手部位置,向前摄像头手部位置,has_tool_use,has_tool_use_significant,其余数据标签,LET PT,Unnamed: 27,肇庆审核
2026-02-06,10:22:05,d8db,3,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-down_sbs_0003.mp4,http://localhost:8082/faster?path=d8db/session_20260206_102205_168786/segments/d8db-front_sbs_0003.mp4,session_20260206_102205_168786,740.40 MB,6.0,书本收纳,6.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0,""end"":369.52,""name"":""未工作"",""type"":""invalid"",""duration"":369.52}]",6.16,0.0,未工作(6.16),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,8:28:05,d8db,1,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-down_sbs_0001.mp4,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-front_sbs_0001.mp4,session_20260206_082805_476354,1200.40 MB,10.0,书本收纳,9.99,0.01,容雪丽,已审批-无效片段过长,"[{""start"":0,""end"":599.6,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.6}]",9.99,0.0,未按照规定动作操作(9.99),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,8:28:05,d8db,2,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-down_sbs_0002.mp4,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-front_sbs_0002.mp4,session_20260206_082805_476354,1200.35 MB,10.0,书本收纳,9.98,0.02,容雪丽,已审批-无效片段过长,"[{""start"":1.08,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":598.88}]",9.98,0.0,未按照规定动作操作(9.98),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,8:28:05,d8db,3,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-down_sbs_0003.mp4,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-front_sbs_0003.mp4,session_20260206_082805_476354,1200.39 MB,10.0,书本收纳,10.0,0.0,容雪丽,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.96}]",10,0.0,未按照规定动作操作(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,8:28:05,d8db,4,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-down_sbs_0004.mp4,http://localhost:8082/faster?path=d8db/session_20260206_082805_476354/segments/d8db-front_sbs_0004.mp4,session_20260206_082805_476354,1200.36 MB,10.0,书本收纳,10.0,0.0,容雪丽,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.96}]",10,0.0,未按照规定动作操作(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,7:32:46,d8db,0,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-down_sbs_0000.mp4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-front_sbs_0000.mp4,session_20260206_073246_311806,1202.42 MB,10.0,书本收纳,10.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0,""end"":600.92,""name"":""无效时间过长"",""type"":""invalid"",""duration"":600.92}]",10.02,0.0,无效时间过长(10.02),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,7:32:46,d8db,1,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-down_sbs_0001.mp4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-front_sbs_0001.mp4,session_20260206_073246_311806,1200.34 MB,10.0,书本收纳,9.97,0.03,赵德祥,已审批-无效片段过长,"[{""start"":1.6400000000000001,""end"":599.96,""name"":""手出画面"",""type"":""invalid"",""duration"":598.32}]",9.97,0.0,手出画面(9.97),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,7:32:46,d8db,2,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-down_sbs_0002.mp4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-front_sbs_0002.mp4,session_20260206_073246_311806,1200.41 MB,10.0,书本收纳,9.96,0.04,赵德祥,已审批-无效片段过长,"[{""start"":2.16,""end"":599.96,""name"":""未工作"",""type"":""invalid"",""duration"":597.8000000000001}]",9.96,0.0,未工作(9.96),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,7:32:46,d8db,3,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-down_sbs_0003.mp4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-front_sbs_0003.mp4,session_20260206_073246_311806,1200.34 MB,10.0,书本收纳,9.97,0.03,赵德祥,已审批-无效片段过长,"[{""start"":1.6400000000000001,""end"":599.96,""name"":""无效时间过长"",""type"":""invalid"",""duration"":598.32}]",9.97,0.0,无效时间过长(9.97),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,7:32:46,d8db,4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-down_sbs_0004.mp4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-front_sbs_0004.mp4,session_20260206_073246_311806,1200.41 MB,10.0,书本收纳,9.98,0.02,赵德祥,已审批-无效片段过长,"[{""start"":1.08,""end"":599.96,""name"":""无效时间过长"",""type"":""invalid"",""duration"":598.88}]",9.98,0.0,无效时间过长(9.98),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,7:32:46,d8db,5,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-down_sbs_0005.mp4,http://localhost:8082/faster?path=d8db/session_20260206_073246_311806/segments/d8db-front_sbs_0005.mp4,session_20260206_073246_311806,403.94 MB,3.0,书本收纳,3.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0.56,""end"":201.4,""name"":""未工作"",""type"":""invalid"",""duration"":200.84}]",3.35,0.0,未工作(3.35),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:40:09,d8db,1,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-down_sbs_0001.mp4,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-front_sbs_0001.mp4,session_20260206_064009_349666,1200.33 MB,10.0,书本收纳,9.98,0.02,赵德祥,已审批-无效片段过长,"[{""start"":1.08,""end"":600,""name"":""无效时间过长"",""type"":""invalid"",""duration"":598.92}]",9.98,0.0,无效时间过长(9.98),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:40:09,d8db,2,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-down_sbs_0002.mp4,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-front_sbs_0002.mp4,session_20260206_064009_349666,1200.37 MB,10.0,书本收纳,9.99,0.01,赵德祥,已审批-无效片段过长,"[{""start"":0.56,""end"":600,""name"":""无效时间过长"",""type"":""invalid"",""duration"":599.44}]",9.99,0.0,无效时间过长(9.99),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:40:09,d8db,3,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-down_sbs_0003.mp4,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-front_sbs_0003.mp4,session_20260206_064009_349666,1200.40 MB,10.0,书本收纳,10.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0,""end"":600,""name"":""无效时间过长"",""type"":""invalid"",""duration"":600}]",10,0.0,无效时间过长(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:40:09,d8db,4,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-down_sbs_0004.mp4,http://localhost:8082/faster?path=d8db/session_20260206_064009_349666/segments/d8db-front_sbs_0004.mp4,session_20260206_064009_349666,1172.89 MB,10.0,书本收纳,9.76,0.24,赵德祥,已审批-无效片段过长,"[{""start"":0.52,""end"":586.12,""name"":""手出画面"",""type"":""invalid"",""duration"":585.6}]",9.76,0.0,手出画面(9.76),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,5:28:54,d8db,3,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-down_sbs_0003.mp4,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-front_sbs_0003.mp4,session_20260206_052854_555750,1200.36 MB,10.0,书本收纳,10.0,0.0,葛永琪,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.96}]",10,0.0,未按照规定动作操作(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,5:28:54,d8db,4,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-down_sbs_0004.mp4,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-front_sbs_0004.mp4,session_20260206_052854_555750,1200.44 MB,10.0,书本收纳,10.0,0.0,葛永琪,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.96}]",10,0.0,未按照规定动作操作(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,5:28:54,d8db,5,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-down_sbs_0005.mp4,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-front_sbs_0005.mp4,session_20260206_052854_555750,1200.34 MB,10.0,书本收纳,10.0,0.0,葛永琪,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":599.96}]",10,0.0,未按照规定动作操作(10.00),脱掉设备,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,5:28:54,d8db,6,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-down_sbs_0006.mp4,http://localhost:8082/faster?path=d8db/session_20260206_052854_555750/segments/d8db-front_sbs_0006.mp4,session_20260206_052854_555750,1086.81 MB,9.0,书本收纳,9.0,0.0,葛永琪,已审批-无效片段过长,"[{""start"":0,""end"":543.12,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":543.12}]",9.05,0.0,未按照规定动作操作(9.05),脱掉设备,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,4:42:55,d8db,2,http://localhost:8082/faster?path=d8db/session_20260206_044255_737722/segments/d8db-down_sbs_0002.mp4,http://localhost:8082/faster?path=d8db/session_20260206_044255_737722/segments/d8db-front_sbs_0002.mp4,session_20260206_044255_737722,1201.40 MB,10.0,书本收纳,10.0,0.0,葛永琪,已审批-无效片段过长,"[{""start"":0,""end"":600,""name"":""未按照规定动作操作"",""type"":""invalid"",""duration"":600}]",10,0.0,未按照规定动作操作(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,8:37:29,ee38,3,http://localhost:8082/faster?path=ee38/session_20260206_083729_841530/segments/ee38-down_sbs_0003.mp4,http://localhost:8082/faster?path=ee38/session_20260206_083729_841530/segments/ee38-front_sbs_0003.mp4,session_20260206_083729_841530,671.00 MB,6.0,叠衣服,6.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0.56,""end"":600,""name"":""没有视频"",""type"":""invalid"",""duration"":599.44}]",9.99,0.0,没有视频(9.99),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:55:49,ee38,1,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-down_sbs_0001.mp4,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-front_sbs_0001.mp4,session_20260206_065549_188379,1200.33 MB,10.0,叠衣服,9.95,0.05,赵德祥,已审批-无效片段过长,"[{""start"":2.72,""end"":599.96,""name"":""手出画面"",""type"":""invalid"",""duration"":597.24}]",9.95,0.0,手出画面(9.95),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:55:49,ee38,2,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-down_sbs_0002.mp4,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-front_sbs_0002.mp4,session_20260206_065549_188379,1200.39 MB,10.0,叠衣服,10.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""手出画面"",""type"":""invalid"",""duration"":599.96}]",10,0.0,手出画面(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:55:49,ee38,3,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-down_sbs_0003.mp4,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-front_sbs_0003.mp4,session_20260206_065549_188379,1200.38 MB,10.0,叠衣服,10.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0,""end"":599.96,""name"":""手出画面"",""type"":""invalid"",""duration"":599.96}]",10,0.0,手出画面(10.00),,坐姿,头部自然移动,手部位置居中,手部在区间内,否,否,,,,
2026-02-06,6:55:49,ee38,4,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-down_sbs_0004.mp4,http://localhost:8082/faster?path=ee38/session_20260206_065549_188379/segments/ee38-front_sbs_0004.mp4,session_20260206_065549_188379,268.23 MB,2.0,叠衣服,2.0,0.0,赵德祥,已审批-无效片段过长,"[{""start"":0,""end"":133.88,""name"":""手出画面"",""type"":""invalid"",""duration"":133.88}]",2.23,0.0,手出画面(2.23),,坐姿,头部自然移动,手部出画面,手部在区间内,否,否,,,,
